latitude,longitude,
8.59035,77.68645, 
8.59128,77.6867, 
8.59166,77.68678, 
8.59215,77.68686, 
8.59264,77.68686, 
8.5931,77.68678, 
8.59361,77.68664, 
8.59442,77.68639, 
8.59494,77.6862, 
8.59527,77.6861, 
8.59576,77.68593, 
8.59668,77.68568, 
8.59738,77.68547, 
8.598,77.6853, 
8.59856,77.68516, 
8.59905,77.68502, 
8.59955,77.68487, 
8.60002,77.68475, 
8.60062,77.68459, 
8.60098,77.68451, 
8.60133,77.68446, 
8.60155,77.68443, 
8.60205,77.68438, 
8.60284,77.68428, 
8.6037,77.68418, 
8.60435,77.68412, 
8.60508,77.68412, 
8.60602,77.68411, 
8.60689,77.68409, 
8.60714,77.68408, 
8.60749,77.68407, 
8.60796,77.68409, 
8.6085,77.68413, 
8.60898,77.68419, 
8.61002,77.68435, 
8.61138,77.68453, 
8.61267,77.68473, 
8.61311,77.68482, 
8.61343,77.68493, 
8.61399,77.68521, 
8.6145,77.68552, 
8.61531,77.68606, 
8.61608,77.68655, 
8.61643,77.68681, 
8.61675,77.68708, 
8.61769,77.68798, 
8.6184,77.68871, 
8.61939,77.6898, 
8.62035,77.69085, 
8.62117,77.69163, 
8.62311,77.69351, 
8.62375,77.69415, 
8.6241,77.69447, 
8.62439,77.69473, 
8.62481,77.69502, 
8.62507,77.69517, 
8.62671,77.6959, 
8.62798,77.69644, 
8.62813,77.69651, 
8.62872,77.69674, 
8.62987,77.69713, 
8.63063,77.69738, 
8.63149,77.69782, 
8.63206,77.69823, 
8.6339,77.69979, 
8.63472,77.70051, 
8.63549,77.70117, 
8.63622,77.7017, 
8.63737,77.70247, 
8.63796,77.70291, 
8.63924,77.70398, 
8.63967,77.70432, 
8.64043,77.70484, 
8.64474,77.70787, 
8.64497,77.70803, 
8.64536,77.70825, 
8.64719,77.70931, 
8.64977,77.7107, 
8.65022,77.71098, 
8.65179,77.71184, 
8.65288,77.71243, 
8.65345,77.71274, 
8.65387,77.71294, 
8.65422,77.71309, 
8.6552,77.71334, 
8.65615,77.71358, 
8.65656,77.71369, 
8.65746,77.71389, 
8.65775,77.71396, 
8.65797,77.71403, 
8.6583,77.71412, 
8.6586,77.71426, 
8.6589,77.71444, 
8.65919,77.71465, 
8.65933,77.71477, 
8.65956,77.71502, 
8.65997,77.71566, 
8.66013,77.71598, 
8.66027,77.71637, 
8.66057,77.71724, 
8.66094,77.71825, 
8.66109,77.71878, 
8.66135,77.71972, 
8.66149,77.72045, 
8.66181,77.72191, 
8.66184,77.72207, 
8.66202,77.72282, 
8.66231,77.72402, 
8.66267,77.72528, 
8.66291,77.72607, 
8.66311,77.72676, 
8.66338,77.72772, 
8.6636,77.72853, 
8.66413,77.73042, 
8.66448,77.73159, 
8.66481,77.73286, 
8.66524,77.73432, 
8.66557,77.73548, 
8.66566,77.7358, 
8.66592,77.73683, 
8.66609,77.73783, 
8.66622,77.73884, 
8.66632,77.7395, 
8.66648,77.74071, 
8.66665,77.74143, 
8.66714,77.7431, 
8.66745,77.74422, 
8.66804,77.7463, 
8.66844,77.74779, 
8.66868,77.74853, 
8.66908,77.74927, 
8.66958,77.75015, 
8.67004,77.75101, 
8.67025,77.75136, 
8.67057,77.75187, 
8.67089,77.75223, 
8.67176,77.75296, 
8.67336,77.75424, 
8.6751,77.75558, 
8.6767,77.75682, 
8.67792,77.75778, 
8.67878,77.75854, 
8.67917,77.75887, 
8.67976,77.75957, 
8.68002,77.75988, 
8.68031,77.7603, 
8.68075,77.761, 
8.68221,77.7637, 
8.68277,77.76469, 
8.68308,77.76517, 
8.68337,77.76554, 
8.68373,77.76589, 
8.68422,77.76618, 
8.68476,77.7664, 
8.68526,77.76654, 
8.68751,77.76679, 
8.68815,77.76685, 
8.68931,77.76693, 
8.6899,77.76687, 
8.69039,77.76674, 
8.69103,77.76646, 
8.69173,77.76618, 
8.69266,77.76579, 
8.6934,77.76561, 
8.69418,77.76556, 
8.69663,77.76588, 
8.69694,77.76592, 
8.69806,77.76601, 
8.69821,77.76601, 
8.69961,77.76612, 
8.70091,77.76623, 
8.703,77.76637, 
8.70347,77.76635, 
8.70398,77.76629, 
8.70462,77.76617, 
8.70551,77.76599, 
8.70639,77.7658, 
8.70731,77.76561, 
8.70815,77.76547, 
8.70901,77.7654, 
8.71068,77.76539, 
8.7168,77.76513, 
8.71967,77.765, 
8.7203,77.76497, 
8.72091,77.76495, 
8.7215,77.76487, 
8.72194,77.76475, 
8.72236,77.76461, 
8.72288,77.76437, 
8.72488,77.76319, 
8.72753,77.76161, 
8.72856,77.76099, 
8.72969,77.76026, 
8.73053,77.75964, 
8.73171,77.7588, 
8.73223,77.75843, 
8.73476,77.75696, 
8.73552,77.75644, 
8.73602,77.75602, 
8.73737,77.75489, 
8.73791,77.7545, 
8.73812,77.75437, 
8.73944,77.75358, 
8.73954,77.75353, 
8.74234,77.75182, 
8.74443,77.75057, 
8.74514,77.74999, 
8.74552,77.74958, 
8.7458,77.74915, 
8.74624,77.74834, 
8.74663,77.7475, 
8.74791,77.74483, 
8.74879,77.74284, 
8.74893,77.74261, 
